# buses,# cont,serial,# processors,parallel,Speed up
2224,6,48.2,8,17.35,2.778097983
2224,6,48.2,7,17.5,2.754285714
2224,6,48.2,6,22.9,2.104803493
2224,6,48.2,5,22.67,2.126157918
2224,6,48.2,4,22.23,2.168241116
2224,6,48.2,3,22.5,2.142222222
2224,6,48.2,2,32.58,1.479435236
2224,5,41.8,8,14.85,2.814814815
2224,5,41.8,7,16.75,2.495522388
2224,5,41.8,6,16.83,2.483660131
2224,5,41.8,5,20.99,1.991424488
2224,5,41.8,4,20.94,1.996179561
2224,5,41.8,3,20.826,2.007106501
2224,5,41.8,2,25.735,1.624247134
2224,4,34.9,8,13.7,2.547445255
2224,4,34.9,7,13.6,2.566176471
2224,4,34.9,6,15.04,2.320478723
2224,4,34.9,5,15.29,2.282537606
2224,4,34.9,4,20.34,1.715830875
2224,4,34.9,3,20.43,1.708272149
2224,4,34.9,2,25.52,1.367554859
2224,3,27.9,8,12.09,2.307692308
2224,3,27.9,7,12.21,2.285012285
2224,3,27.9,6,12.21,2.285012285
2224,3,27.9,5,12.5,2.232
2224,3,27.9,4,12.73,2.191673213
2224,3,27.9,3,17.37,1.606217617
2224,3,27.9,2,17.26,1.616454229
2224,2,21.45,8,11.12,1.928956835
2224,2,21.45,7,11.05,1.941176471
2224,2,21.45,6,11.1,1.932432432
2224,2,21.45,5,11.04,1.942934783
2224,2,21.45,4,11,1.95
2224,2,21.45,3,10.94,1.960694698
2224,2,21.45,2,15.95,1.344827586
2224,1,15.47,8,10.11,1.53016815
2224,1,15.47,7,10.25,1.509268293
2224,1,15.47,6,10.6,1.459433962
2224,1,15.47,5,10.47,1.477554919
2224,1,15.47,4,10.649,1.452718565
2224,1,15.47,3,12.15,1.273251029
2224,1,15.47,2,10.1,1.531683168
189,6,0.17,8,0.145,1.172413793
189,6,0.17,7,0.136,1.25
189,6,0.17,6,0.14,1.214285714
189,6,0.17,5,0.134,1.268656716
189,6,0.17,4,0.13,1.307692308
189,6,0.17,3,0.135,1.259259259
189,6,0.17,2,0.141,1.205673759
189,5,0.147,8,0.128,1.1484375
189,5,0.147,7,0.126,1.166666667
189,5,0.147,6,0.126,1.166666667
189,5,0.147,5,0.12,1.225
189,5,0.147,4,0.118,1.245762712
189,5,0.147,3,0.12,1.225
189,5,0.147,2,0.127,1.157480315
189,4,0.128,8,0.121,1.05785124
189,4,0.128,7,0.117,1.094017094
189,4,0.128,6,0.118,1.084745763
189,4,0.128,5,0.12,1.066666667
189,4,0.128,4,0.11,1.163636364
189,4,0.128,3,0.106,1.20754717
189,4,0.128,2,0.11,1.163636364
189,3,0.108,8,0.104,1.038461538
189,3,0.108,7,0.105,1.028571429
189,3,0.108,6,0.104,1.038461538
189,3,0.108,5,0.104,1.038461538
189,3,0.108,4,0.094,1.14893617
189,3,0.108,3,0.0913,1.182913472
189,3,0.108,2,0.096,1.125
189,2,0.085,8,0.92,0.092391304
189,2,0.085,7,0.0907,0.937155458
189,2,0.085,6,0.089,0.95505618
189,2,0.085,5,0.087,0.977011494
189,2,0.085,4,0.087,0.977011494
189,2,0.085,3,0.084,1.011904762
189,2,0.085,2,0.077,1.103896104
189,1,0.197,8,0.19,1.036842105
189,1,0.197,7,0.186,1.059139785
189,1,0.197,6,0.186,1.059139785
189,1,0.197,5,0.182,1.082417582
189,1,0.197,4,0.179,1.100558659
189,1,0.197,3,0.182,1.082417582
189,1,0.197,2,0.12,1.641666667